raHours	raMins	raSecs	raErrSecs	decDegs	decArcmins	decArcsecs	decErrArcsecs	longitudeDegs	latitudeDegs	nvssStokesIs	stokesIErrs	AvePeakPIs	PIErrs	polarizationPercents	mErrPercents	rotationMeasures	RMErrs
3.0	19.0	23.858400000002288	1.0	31.0	1.0	43.284000000003566	1.0	156.7081380972819	-21.96910321464522	0.03681	0.00011081	0.002017188	0.00011081	0.0548	0.01	33.78	0.49
3.0	19.0	27.67680000000205	1.0	31.0	21.0	15.155999999994096	1.0	156.51778809244948	-21.69537598374425	0.0066	3.652e-05	0.00049566	3.652e-05	0.0751	0.01	58.6	1.46
3.0	20.0	3.0048000000032715	1.0	31.0	7.0	33.74399999999895	1.0	156.77031734719827	-21.808903579127673	0.11414	0.00014712	0.005809725999999999	0.00014712	0.0509	0.01	75.95	0.12
3.0	20.0	21.420000000001664	1.0	31.0	38.0	24.46799999999712	1.0	156.5079345108568	-21.351685462139805	0.020880000000000003	4.724e-05	0.001438632	4.724e-05	0.0689	0.01	47.79	0.49
3.0	20.0	27.794400000003773	1.0	31.0	56.0	38.86800000000449	1.0	156.33927162926452	-21.090523254083518	0.00427	3.079e-05	0.0006695359999999999	3.079e-05	0.1568	0.01	44.81	1.05
3.0	20.0	44.690400000002775	1.0	31.0	46.0	1.0200000000048703	1.0	156.50141509651797	-21.200519174024745	0.016280000000000003	3.775e-05	0.0011282040000000005	3.775e-05	0.0693	0.01	54.02	0.62
3.0	20.0	45.41520000000325	1.0	31.0	12.0	6.33600000000058	1.0	156.85567913583543	-21.659537499666246	0.010920000000000001	4.753e-05	0.0010232039999999998	4.753e-05	0.0937	0.01	46.88	0.68
3.0	20.0	55.67760000000376	1.0	31.0	36.0	2.7000000000052182	1.0	156.6388038177002	-21.31341518595761	0.00182	3.025e-05	0.000354172	3.025e-05	0.1946	0.01	49.67	1.74
3.0	20.0	57.11280000000123	1.0	30.0	56.0	15.288000000001887	1.0	157.05762310588605	-21.850206900818986	0.00435	3.278e-05	0.00036018	3.278e-05	0.0828	0.01	54.35	2.01
3.0	20.0	59.3136000000034	1.0	31.0	1.0	39.86400000000515	1.0	157.00798853073803	-21.772315062586827	0.011340000000000001	3.481e-05	0.000322056	3.481e-05	0.0284	0.01	45.31	2.17
