ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	47.23883333333333	31.73186111111111	-7.0	4.5	-44.1764705882353	15.389898616080506	15.441176470588236	0.9513074159622192	0.4260605450938729	0.0001365	-204.27098746297864	-1289.1387528125797	828.7320553795156	-3469.246840102092	-792.9335968883346
1	47.353	27.64227777777777	-13.8	17.1	-50.9764705882353	27.98989861608051	28.041176470588237	2.101512908935547	1.5762660380672004	0.0001167	-114.7931499790252	-424.0398285243958	525.4406570845773	-935.6933133414034	-351.5595651807459
2	47.36483333333333	28.66341666666667	0.9	13.6	-36.2764705882353	24.489898616080506	24.541176470588233	1.497986078262329	0.9727392073939828	0.0001298	11.748800466838672	-473.5611273136869	-7156.034812740158	-1022.0170475108551	-395.2700712108928
3	47.522125	32.94080555555555	-25.2	15.4	-62.37647058823529	26.289898616080507	26.341176470588238	1.8153754472732544	1.290128576404908	0.0001242	-251.64534567810418	-622.8868453712925	380.6530721713454	-1763.3913511062565	-562.4393087943871
5	47.86483333333333	32.60494444444445	-35.9	16.1	-73.0764705882353	26.98989861608051	27.041176470588237	1.2096152305603027	0.6843683596919564	0.0001338	-658.7963407264091	-1341.0170311066984	601.403181081277	-1619.5515782114721	-847.0739188635241
6	47.89654166666666	30.72247222222222	9.9	10.0	-27.2764705882353	20.889898616080508	20.941176470588236	1.5129951238632202	0.9877482529948739	0.0001298	127.29604011456435	-350.7259287054278	-354.2686148539675	-447.8834339172845	-290.07438662470076
7	47.94004166666666	30.10538888888889	14.8	14.4	-22.376470588235296	25.289898616080507	25.341176470588238	1.3675172328948977	0.8422703620265514	0.0001298	222.7193261536606	-336.7346250749304	-327.63368926209444	-541.9059945199007	-231.1777017225576
8	47.95595833333334	28.514444444444447	0.6	8.9	-36.576470588235296	19.789898616080507	19.841176470588238	1.3069404363632202	0.7816935654948739	0.0001338	9.64330377047706	-587.8633612237879	-8719.973191486188	-909.2541665594551	-381.5883216577193
9	48.065583333333336	31.44505555555555	-4.7	12.3	-41.8764705882353	23.189898616080505	23.241176470588236	1.0133488178253174	0.48810194695697107	0.0001338	-120.78226984924508	-1076.156419345151	2816.324246371353	-3117.364433494072	-598.6400738116866
10	48.13691666666666	26.24505555555556	-24.0	7.3	-61.1764705882353	18.189898616080505	18.241176470588236	0.9853442907333374	0.4600974198649911	0.0001365	-648.5469344362165	-1653.1588524844733	502.8358176306939	-4804.28324062074	-616.1478791161398
11	48.393125	29.03183333333333	-4.0	10.9	-41.1764705882353	21.789898616080507	21.841176470588238	1.6590343713760376	1.1337875005076912	0.0001242	-45.2800089872155	-466.11773957427727	1270.1708403399057	-951.7860413381519	-406.20462601231236
12	48.42104166666667	30.383305555555552	11.5	12.4	-25.676470588235297	23.289898616080507	23.341176470588238	2.1876976490020748	1.6624507781337283	0.0001167	90.95123584345768	-203.07015061723416	-218.96259718727856	-962.5800238194623	-179.63042793869747
13	48.43600000000001	30.37833333333333	4.8	7.6	-32.3764705882353	18.489898616080506	18.541176470588233	1.3500492572784424	0.8248023864100961	0.0001298	73.74165711462007	-497.3947068123394	-787.5416191195374	-507.342431987751	-226.50306423243777
14	48.506625	30.51427777777777	10.9	7.1	-26.2764705882353	17.989898616080506	18.041176470588233	1.5849263668060305	1.0596794959376843	0.0001298	130.74454684511446	-315.1839669493396	-205.30331792112946	-2063.5320419089276	-173.36986848959415
15	48.70745833333334	29.749666666666666	43.0	5.7	5.823529411764703	16.589898616080507	16.641176470588235	1.4684799909591677	0.9432331200908214	0.0001298	578.6756806724069	78.37057782020281	10.388657990119906	94.32071419018853	43.3107224152248
16	48.742875	26.61330555555556	1.1	5.7	-36.076470588235296	16.589898616080507	16.641176470588235	1.2369136810302734	0.7116668101619271	0.0001338	19.41392257408653	-636.7143697693726	-3299.33809789584	-746.8811409592519	-472.0677163401794
17	48.93854166666666	31.944527777777783	40.7	10.1	3.523529411764706	20.989898616080506	21.041176470588233	1.6690962314605713	1.1438493605922249	0.0001242	456.79655563985773	39.546341498522146	9.81371128096004	61.89358421966445	37.5222513952289
18	48.966875	32.10413888888889	4.3	13.3	-32.8764705882353	24.189898616080505	24.241176470588236	2.0306134223937993	1.5053665515254528	0.0001167	37.36039563811062	-285.64603450259955	-883.5098276475754	-1205.1968655006233	-272.9381992648672
