ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
0	1123	456	47.23883333333333	31.731861111111108	-7.0	4.5	47.2465019053609	31.730597619650656	0.9513074159622192	1	0.6036280393600464	47.273614260236855	31.73427262704641	1.224975824356079	47.21422898715417	31.75047922492828	True
1	1151	285	47.353	27.642277777777778	-13.8	17.1	47.363337947140465	27.64669913640335	2.101512908935547	1	1.2094460725784302	47.38905749113211	27.64987926159944	2.4764316082000732	47.342489143365924	27.62047942183616	True
2	1143	328	47.36483333333333	28.663416666666667	0.9	13.6	47.36010508677883	28.666777316072313	1.497986078262329	1	0.9665600061416626	47.365028137018754	28.64358253285983	1.7045681476593018	47.38124899926642	28.693279136039802	True
3	1104	504	47.522125	32.94080555555555	-25.2	15.4	47.518523227687865	32.935932529520876	1.8153754472732544	1	0.9650436639785767	47.5513001252496	32.915971757467425	1.972581386566162	47.49091142607881	32.93217341292159	True
4	1117	402	47.690666666666665	30.48402777777778	-34.4	13.0	47.681162200630084	30.481757761973267	0.7014591097831726	1	0.517937958240509	47.64943912232356	30.501778183190147	1.0442324876785278	47.71287542427386	30.461727647195776	True
5	1094	489	47.86483333333333	32.60494444444445	-35.9	16.1	47.87107840570132	32.6171756602007	1.2096152305603027	1	1.0915567874908447	47.87612074354973	32.5934508239947	1.62220299243927	47.90369685187747	32.597093481921966	True
6	1107	411	47.896541666666664	30.72247222222222	9.9	10.0	47.90509766062242	30.727736801908865	1.5129951238632202	1	1.2903310060501099	47.88311441720259	30.700770885722168	1.7344574928283691	47.900187253797036	30.75127043211915	True
7	1110	385	47.940041666666666	30.10538888888889	14.8	14.4	47.951649844011996	30.106604163564175	1.3675172328948975	1	1.0433193445205688	47.98319351498343	30.0864949980032	1.7710293531417847	47.929822632011934	30.07978666514801	True
8	1122	318	47.955958333333335	28.514444444444443	0.6	8.9	47.95658916554885	28.502616201528422	1.3069404363632202	1	1.029900074005127	47.9779832022726	28.529037675724894	1.7585748434066772	47.925691768742574	28.522677589536496	True
9	1096	440	48.065583333333336	31.445055555555555	-4.7	12.3	48.060214417761074	31.44969973468293	1.0133488178253174	1	0.6922645568847656	48.037940771239064	31.42258557152758	1.4125136137008667	48.08250742881512	31.47681790735923	True
