Unnamed: 0	index	ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
0	0	8	1022	408	50.23797000000001	30.93758	54.350895	2.0099947	50.23012910797009	30.930237317876845	0.2529035806655884	2.0	0.2529035806655884	50.23012910797009	30.930237317876845	2.0595028400421143	50.18375456722811	30.876634142447948	True
1	1	185	901	351	53.78628000000002	29.87817	30.624697	0.9479281	53.782275306044646	29.88022544677909	0.2875664532184601	2.0	0.04057776927947998	53.806819677886935	29.906404093720287	1.6933735609054563	53.751392031009644	29.902034211808065	True
2	2	1	1032	427	49.86532000000001	31.35421	58.601063	1.4552824	49.872843053562256	31.35223893776877	0.4868324995040894	2.0	0.048647284507751465	49.881616643249714	31.30460031067864	1.967374563217163	49.864058867081745	31.39988620262753	True
3	3	199	881	340	54.37633000000002	29.667859999999997	26.87598	0.5567861	54.37032293335329	29.65849512633734	0.5024465322494507	2.0	0.10807758569717407	54.36434439576068	29.70651831516643	1.248698115348816	54.42575412575904	29.66257795394145	True
4	4	186	900	357	53.78736000000001	30.01807	28.930996	0.39750776	53.790971996197094	30.0264421581354	0.636346697807312	2.0	0.2435621768236161	53.732271269055566	30.04605986347973	1.8005428314208984	53.84018079542857	30.07885890949532	True
5	5	198	880	355	54.34811000000001	30.01365	24.921059	0.26710194	54.3531424722905	30.021040140995325	0.6502394676208496	2.0	0.172715425491333	54.2944505441232	30.040930828307467	1.3843210935592651	54.405837990354904	30.049241297773914	True
6	6	197	880	355	54.34159000000001	30.012340000000002	23.87312	0.35797223	54.3531424722905	30.021040140995325	0.6502394676208496	2.0	0.172715425491333	54.2944505441232	30.040930828307467	1.3843210935592651	54.405837990354904	30.049241297773914	True
7	9	96	967	335	52.016070000000006	29.34535	6.031395400000001	2.3368716	52.0237660453959	29.343567080104588	0.8024978637695312	2.0	0.6290010213851929	52.020102779878854	29.36734644258761	2.118580818176269	52.05830718343292	29.29850198302337	True
8	10	68	990	330	51.42660000000001	29.166459999999997	22.081966	1.5264218	51.4180425127815	29.166353686619612	0.804385781288147	2.0	0.616728663444519	51.44511078036204	29.168946736329666	2.2301571369171143	51.410382444294434	29.213756429810022	True
9	11	188	896	372	53.86513000000002	30.398870000000002	45.85872	0.95408154	53.854707658624235	30.39585056319278	0.8503050804138184	2.0	0.5553085207939148	53.85787724176887	30.37178502277214	2.130123376846313	53.90420984607705	30.44839784360667	True
10	12	4	1020	450	50.11581	31.944129999999998	44.810696	1.048052	50.10443572368106	31.938475161780076	0.8720928430557251	2.0	0.7897577285766602	50.1322510561965	31.94158843269896	1.6868023872375488	50.072261759026524	31.95926157660134	True
11	13	70	989	329	51.46178000000001	29.145970000000002	14.550175	0.74498224	51.448929792556	29.14524700239469	0.9311642646789552	2.0	0.616728663444519	51.44511078036204	29.168946736329666	2.3683881759643555	51.40247591675782	29.092682622505627	True
12	14	17	1002	455	50.59103000000001	32.10835	34.036564	3.3378282	50.58503941694767	32.11350796441681	0.9319931268692015	2.0	0.7830932140350342	50.52910891909458	32.107434138158325	1.5857471227645874	50.604575432591616	32.164493583077785	True
13	17	5	1018	443	50.18621	31.76695	54.01694499999999	0.62202483	50.19038981876929	31.77734914481436	0.9868234395980836	2.0	0.545486330986023	50.162623332072926	31.77426352681863	1.6637732982635498	50.1947102409388	31.75345052510222	True
