ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	47.23883333333333	31.73186111111111	-7.0	4.5	-44.1764705882353	15.389898616080506	15.441176470588236	0.9513074159622192	0.4260605450938729	0.00013759999999999998	-203.09617229424836	-1281.7245831342902	823.9658034434724	-3535.4931668419836	-787.0477370456438
1	47.353	27.64227777777777	-13.8	17.1	-50.9764705882353	27.98989861608051	28.041176470588237	2.101512908935547	1.5762660380672004	0.0001202	-113.41965233717593	-418.96620083289287	519.1537705972803	-928.759867076505	-346.38819377498896
2	47.36483333333333	28.66341666666667	0.9	13.6	-36.2764705882353	24.489898616080506	24.541176470588233	1.497986078262329	0.9727392073939828	0.0001317	11.648141454835736	-469.50384543772543	-7094.724775503406	-1016.1391637005843	-391.4161438648659
3	47.522125	32.94080555555555	-25.2	15.4	-62.37647058823529	26.289898616080507	26.341176470588238	1.8153754472732544	1.290128576404908	0.0001268	-249.0930489688039	-616.5692556641449	376.79232290586634	-1753.2496323364146	-556.1168729763646
5	47.86483333333333	32.60494444444445	-35.9	16.1	-73.0764705882353	26.98989861608051	27.041176470588237	1.2096152305603027	0.6843683596919564	0.00013519999999999998	-653.9145939393267	-1331.0799607583574	596.9467233484556	-1607.7471578391878	-846.0711580324717
6	47.89654166666666	30.72247222222222	9.9	10.0	-27.2764705882353	20.889898616080508	20.941176470588236	1.5129951238632202	0.9877482529948739	0.0001317	126.20199571213743	-347.71161860795087	-351.2238571797484	-444.53703462132114	-287.213428207676
7	47.94004166666666	30.10538888888889	14.8	14.4	-22.376470588235296	25.289898616080507	25.341176470588238	1.3675172328948977	0.8422703620265514	0.0001317	220.87210259470754	-333.94176401838934	-324.9163109368112	-537.9916872927038	-228.8674045294679
8	47.95595833333334	28.514444444444447	0.6	8.9	-36.576470588235296	19.789898616080507	19.841176470588238	1.3069404363632202	0.7816935654948739	0.0001317	9.639467633744788	-587.6295073198538	-8716.504358577831	-902.7050004035409	-377.7915484130086
9	48.065583333333336	31.44505555555555	-4.7	12.3	-41.8764705882353	23.189898616080505	23.241176470588236	1.0133488178253174	0.48810194695697107	0.00013519999999999998	-119.91553075879256	-1068.4338716794045	2796.1141748205696	-3099.4356660836097	-593.6131020316512
10	48.13691666666666	26.24505555555556	-24.0	7.3	-61.1764705882353	18.189898616080505	18.241176470588236	0.9853442907333374	0.4600974198649911	0.00013759999999999998	-644.8169736342827	-1643.651109263858	499.94387906775677	-4896.022494694624	-609.921398609423
11	48.393125	29.03183333333333	-4.0	10.9	-41.1764705882353	21.789898616080507	21.841176470588238	1.6590343713760376	1.1337875005076912	0.0001268	-44.84680377802008	-461.6582741855009	1258.01879715549	-944.8776380580209	-402.06355144797635
12	48.42104166666667	30.383305555555552	11.5	12.4	-25.676470588235297	23.289898616080507	23.341176470588238	2.1876976490020748	1.6624507781337283	0.0001202	89.82444966142235	-200.55433389877678	-216.249890464768	-957.0439776724057	-177.02596886037512
13	48.43600000000001	30.37833333333333	4.8	7.6	-32.3764705882353	18.489898616080506	18.541176470588233	1.3500492572784424	0.8248023864100961	0.0001317	73.1332278145912	-493.2907915337133	-781.0437532617126	-503.17783681533183	-223.21899945189114
14	48.506625	30.51427777777777	10.9	7.1	-26.2764705882353	17.989898616080506	18.041176470588233	1.5849263668060305	1.0596794959376843	0.0001317	129.60538474067434	-312.4378055243348	-203.51453387364927	-2102.9358157500856	-172.6442662071892
15	48.70745833333334	29.749666666666666	43.0	5.7	5.823529411764703	16.589898616080507	16.641176470588235	1.4684799909591677	0.9432331200908214	0.0001317	573.7498382194896	77.70346646201017	10.3002269496153	94.27596107795546	42.7233387470779
16	48.742875	26.61330555555556	1.1	5.7	-36.076470588235296	16.589898616080507	16.641176470588235	1.2369136810302734	0.7116668101619271	0.00013519999999999998	19.269629530371315	-631.9820209078464	-3274.8159265224767	-741.4026230383772	-468.0252351092836
17	48.93854166666666	31.944527777777783	40.7	10.1	3.523529411764706	20.989898616080506	21.041176470588233	1.6690962314605713	1.1438493605922249	0.0001268	452.4072527867048	39.166345486231556	9.719412516239279	61.4333990894286	37.15240907790638
18	48.966875	32.10413888888889	4.3	13.3	-32.8764705882353	24.189898616080505	24.241176470588236	2.0306134223937993	1.5053665515254528	0.0001202	36.92770448865906	-282.33781174708	-873.2774177293406	-1198.2654672806336	-269.66786044343155
19	49.076541666666664	32.07861111111111	14.0	11.3	-23.176470588235297	22.189898616080505	22.241176470588236	1.6251760721206665	1.09992920125232	0.0001268	161.66420595005243	-267.628979597986	-216.01481924694585	-1854.8392912593097	-163.4556525502828
20	49.090125	31.410666666666664	17.3	12.0	-19.876470588235296	22.889898616080508	22.941176470588236	1.11791729927063	0.5926704284022838	0.00013519999999999998	363.7344737443719	-417.9050618096677	-289.8763434517926	-1590.7365393820323	-386.7271618724492
21	49.15108333333333	27.650666666666666	-15.7	13.2	-52.87647058823529	24.089898616080504	24.141176470588235	1.4511916637420654	0.9259447928737191	0.0001317	-213.3551730423598	-718.5648746638337	604.143716277873	-1356.9144114904996	-617.5736913320953
22	49.226333333333336	34.62075	19.3	1.8	-17.876470588235296	12.689898616080507	12.741176470588236	1.6967194080352783	1.171472537166932	0.0001268	209.60283736084648	-194.14295115501753	-18.106596480778837	-500.5147573156997	-194.14295115501753
23	49.34154166666666	29.07830555555556	9.1	11.5	-28.076470588235296	22.389898616080508	22.441176470588236	1.4380509853363037	0.9128041144679574	0.0001317	125.42555471701894	-386.9787800027999	-489.0391175859559	-1180.9849604345502	-259.77615835397904
24	49.38325	32.15488888888889	2.7	13.9	-34.476470588235294	24.789898616080507	24.841176470588238	1.8986841440200808	1.3734372731517346	0.0001268	25.10511674832376	-320.56882192140637	-1650.3357869287215	-589.6614172709346	-320.56882192140637
25	49.57920833333333	33.14927777777777	55.2	12.3	18.023529411764706	23.189898616080505	23.241176470588236	0.8358896970748901	0.3106428262065438	0.00013759999999999998	2196.6090374517794	717.2218766786287	159.81574425991184	717.2218766786287	494.32904086173295
26	49.6125	28.43994444444445	20.6	11.4	-16.576470588235296	22.289898616080507	22.341176470588238	2.10375452041626	1.5785076495479138	0.0001202	169.0778903561273	-136.0541105150105	-75.29208057626795	-252.70984929445845	-109.19361041233421
