ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	47.23883333333333	31.73186111111111	-7.0	4.5	-44.1764705882353	15.389898616080506	15.441176470588236	0.9513074159622192	0.4260605450938729	0.0001367	-204.123392818858	-1288.2072941761544	828.1332605418136	-3553.3749964430626	-791.9617963438865
1	47.353	27.64227777777777	-13.8	17.1	-50.9764705882353	27.98989861608051	28.041176470588237	2.101512908935547	1.5762660380672004	0.0001182	-114.4699709941502	-422.84602243619173	523.9613756274549	-934.5515794215704	-350.18542959538775
2	47.36483333333333	28.66341666666667	0.9	13.6	-36.2764705882353	24.489898616080506	24.541176470588233	1.497986078262329	0.9727392073939828	0.0001304	11.731715374824663	-472.87247527152743	-7145.628515214192	-1021.278595886931	-394.52329033486075
3	47.522125	32.94080555555555	-25.2	15.4	-62.37647058823529	26.289898616080507	26.341176470588238	1.8153754472732544	1.290128576404908	0.0001252	-251.11276870427614	-621.5685806116115	379.8474659293182	-1762.1172244074805	-561.1015095376356
5	47.86483333333333	32.60494444444445	-35.9	16.1	-73.0764705882353	26.98989861608051	27.041176470588237	1.2096152305603027	0.6843683596919564	0.0001341	-657.9924373349605	-1339.3806405066714	600.6693123163625	-1617.6570005867177	-852.6622104942605
6	47.89654166666666	30.72247222222222	9.9	10.0	-27.2764705882353	20.889898616080508	20.941176470588236	1.5129951238632202	0.9877482529948739	0.0001304	127.10942852440085	-350.2117766296178	-353.7492693228463	-447.32545554015405	-289.5074254934019
7	47.94004166666666	30.10538888888889	14.8	14.4	-22.376470588235296	25.289898616080507	25.341176470588238	1.3675172328948977	0.8422703620265514	0.0001304	222.42211254885396	-336.2852607853102	-327.19646995327474	-541.2868054342871	-230.70836016245244
8	47.95595833333334	28.514444444444447	0.6	8.9	-36.576470588235296	19.789898616080507	19.841176470588238	1.3069404363632202	0.7816935654948739	0.0001304	9.706241250198978	-591.7000793503652	-8776.88451036375	-908.2229588453248	-380.8232611332565
9	48.065583333333336	31.44505555555555	-4.7	12.3	-41.8764705882353	23.189898616080505	23.241176470588236	1.0133488178253174	0.48810194695697107	0.0001341	-120.64662959549814	-1074.9478799628928	2813.1614730943793	-3115.112002545015	-597.8141328351155
10	48.13691666666666	26.24505555555556	-24.0	7.3	-61.1764705882353	18.189898616080505	18.241176470588236	0.9853442907333374	0.4600974198649911	0.0001367	-648.0783311598894	-1651.9643735448165	502.47249695321494	-4920.785614248715	-614.8570524191997
11	48.393125	29.03183333333333	-4.0	10.9	-41.1764705882353	21.789898616080507	21.841176470588238	1.6590343713760376	1.1337875005076912	0.0001252	-45.19925323482801	-465.28643035852366	1267.905522726977	-950.684624166444	-405.3326867690139
12	48.42104166666667	30.383305555555552	11.5	12.4	-25.676470588235297	23.289898616080507	23.341176470588238	2.1876976490020748	1.6624507781337283	0.0001182	90.67190561885799	-202.44647980885688	-218.29011735911524	-961.8845180219049	-178.95125250624162
13	48.43600000000001	30.37833333333333	4.8	7.6	-32.3764705882353	18.489898616080506	18.541176470588233	1.3500492572784424	0.8248023864100961	0.0001304	73.64464189389417	-496.7403296372471	-786.5055219256412	-506.68432673668093	-225.64666524498372
14	48.506625	30.51427777777777	10.9	7.1	-26.2764705882353	17.989898616080506	18.041176470588233	1.5849263668060305	1.0596794959376843	0.0001304	130.5461056959232	-314.7055877731727	-204.99171313665377	-2113.5720518124053	-174.67462334560744
15	48.70745833333334	29.749666666666666	43.0	5.7	5.823529411764703	16.589898616080507	16.641176470588235	1.4684799909591677	0.9432331200908214	0.0001304	577.8481814205696	78.25850883807985	10.373802334350119	94.92810089291001	43.17153947145715
16	48.742875	26.61330555555556	1.1	5.7	-36.076470588235296	16.589898616080507	16.641176470588235	1.2369136810302734	0.7116668101619271	0.0001341	19.39005220282258	-635.9314981813416	-3295.2813996669515	-745.9929981113916	-471.38211366093856
17	48.93854166666666	31.944527777777783	40.7	10.1	3.523529411764706	20.989898616080506	21.041176470588233	1.6690962314605713	1.1438493605922249	0.0001252	455.9708672436165	39.47485900837206	9.795972382912966	61.817414846759505	37.44904808067948
18	48.966875	32.10413888888889	4.3	13.3	-32.8764705882353	24.189898616080505	24.241176470588236	2.0306134223937993	1.5053665515254528	0.0001182	37.263858556528135	-284.9079418227576	-881.2268898238782	-1204.3260585168798	-272.1669922606001
19	49.076541666666664	32.07861111111111	14.0	11.3	-23.176470588235297	22.189898616080505	22.241176470588236	1.6251760721206665	1.09992920125232	0.0001252	162.92452468695558	-269.71538960781726	-217.6988501834525	-1864.2207038596096	-165.2108193405417
20	49.090125	31.410666666666664	17.3	12.0	-19.876470588235296	22.889898616080508	22.941176470588236	1.11791729927063	0.5926704284022838	0.0001341	365.98323480050044	-420.4887284566104	-291.66848216643496	-1598.782172167924	-389.1296484920272
21	49.15108333333333	27.650666666666666	-15.7	13.2	-52.87647058823529	24.089898616080504	24.141176470588235	1.4511916637420654	0.9259447928737191	0.0001304	-214.875014662286	-723.6835919068149	608.447351157322	-1365.1833907958546	-622.066589616506
