ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
0	49.849410000000006	31.02869	1.306603193283081	-273.3076542144882	197	878
2	50.012520000000016	31.126040000000003	1.2429472208023071	599.8854548290376	1662	274
3	50.08925000000001	31.64013	1.001220941543579	-4.864446582744976	282	282
6	50.189230000000016	31.201759999999997	1.350156545639038	-18.95464222502585	145	151
7	50.23199000000002	31.60075	1.5984244346618652	23.434624136072298	167	122
9	50.247140000000016	31.02774	1.889332056045532	-27.249953167192675	99	122
10	50.24958000000001	30.848440000000004	1.0845348834991455	474.49422718948335	886	440
11	50.25013000000001	31.22124	2.025963544845581	-51.74457268207696	88	173
12	50.30499000000001	30.99768	1.980569124221801	46.755972624926045	349	79
13	50.37152000000002	30.951729999999998	1.0919462442398071	19.022656454212523	231	229
14	50.44955000000001	31.89139	1.7840577363967896	36.77706551601084	158	97
15	50.45063000000001	31.24205	1.0106050968170166	95.04094271610151	356	364
16	50.55728000000001	31.20588	1.5162607431411743	30.343209193058197	128	125
18	50.61890000000001	29.695359999999997	0.9801870584487916	-1073.9058853546362	975	1231
19	50.64575000000001	28.97552	2.092642307281494	-196.66626751773586	89	332
20	50.6463	29.133609999999997	1.6540472507476809	348.0745494472221	1856	226
21	50.64872000000001	31.20035	2.165404796600342	-49.59920120031264	69	417
22	50.68300000000001	29.56505	1.9403306245803835	-310.24082011659067	86	2182
23	50.74281000000001	31.06418	1.8399659395217896	195.5786574988071	219	127
24	50.78311000000001	29.19962	1.2038934230804443	-579.0193253982559	428	975
25	50.83320000000001	28.90758	1.6312596797943115	-395.3103641960304	176	2050
26	50.83547000000001	32.16422	1.6465412378311155	445.123156022669	1275	189
27	50.85423000000002	30.01892	0.7643551826477051	-2304.9143301033146	2304	1230
28	50.86062000000001	29.047009999999997	1.7021610736846924	158.1619952518295	173	130
29	50.86195000000001	29.38008	2.31160569190979	-277.8828175216161	62	2544
30	50.87244000000001	29.28552	1.8004593849182131	-527.8302674212498	163	1620
31	50.896510000000006	28.945320000000002	1.610483169555664	-206.26268617544525	147	169
32	50.90513000000001	30.076490000000003	2.20246696472168	-155.54888297506392	89	1326
33	50.90781000000001	29.576259999999998	1.6451449394226074	-396.8444258512278	240	295
34	50.938490000000016	31.74977	1.5310076475143433	-233.52296607292283	144	1070
35	50.94280000000001	29.384209999999996	2.279424905776977	-257.2301849144277	82	2307
36	50.97348000000001	31.75484	1.5795271396636963	-343.3105499683261	164	1672
37	50.977030000000006	28.903709999999997	1.9452135562896729	82.30093811712452	588	94
38	51.03970000000001	30.10207	2.224785566329956	71.14595726932005	115	70
39	51.04601000000001	30.10075	2.224785566329956	44.675976069762584	89	69
40	51.046230000000016	31.091359999999998	1.5193850994110107	336.69775379299097	180	235
41	51.050440000000016	29.37108	1.4824339151382446	-491.9477973197099	283	475
42	51.06359000000001	29.58092000000001	1.1444165706634521	-651.1970908620242	532	912
43	51.07550000000001	30.704309999999996	2.6388044357299805	22.724689753433275	83	54
44	51.08218000000001	30.70161	2.6388044357299805	31.976081155146105	104	54
45	51.09807000000002	30.876379999999997	2.8515548706054688	-51.642722890093495	58	89
46	51.10239000000001	29.82811	1.9010851383209229	250.27523620260448	277	130
