	index	ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
0	0	8	1022	408	50.23797000000001	30.93758	54.350895	2.0099947	50.23012910797009	30.930237317876845	0.2529035806655884	2.0	0.2529035806655884	50.23012910797009	30.930237317876845	2.0595028400421143	50.18375456722811	30.876634142447948	True
1	1	185	901	351	53.78628000000002	29.87817	30.624697	0.9479281	53.782275306044646	29.88022544677909	0.2875664532184601	2.0	0.04057776927947998	53.806819677886935	29.906404093720287	1.6933735609054563	53.751392031009644	29.902034211808065	True
2	2	257	832	326	55.75899999999999	29.425583333333336	29.4	17.4	55.76945848054693	29.41485451193559	0.3295882046222687	2.0	0.14810580015182495	55.79471297755509	29.440668791470838	1.413780927658081	55.80236790489545	29.36846404880991	True
3	3	1	1032	427	49.86532000000001	31.35421	58.601063	1.4552824	49.872843053562256	31.35223893776877	0.4868324995040894	2.0	0.048647284507751465	49.881616643249714	31.30460031067864	1.967374563217163	49.864058867081745	31.39988620262753	True
4	4	252	859	334	54.988875	29.56166666666667	6.6	8.5	54.99786871803691	29.557903282515603	0.4870076179504394	2.0	0.14249709248542786	55.003458621510255	29.509833034062282	1.3547594547271729	55.053397325039796	29.56171655634264	True
5	5	199	881	340	54.37633000000002	29.66786	26.87598	0.5567861	54.37032293335329	29.65849512633734	0.5024465322494507	2.0	0.10807758569717407	54.36434439576068	29.70651831516643	1.248698115348816	54.42575412575904	29.66257795394145	True
6	6	250	874	232	54.86429166666667	27.08913888888889	33.5	9.1	54.87081619467718	27.097555526771394	0.561356782913208	2.0	0.09654292464256288	54.841178073902476	27.11942654962418	1.3881701231002808	54.87630670480836	27.050266295278586	True
7	7	236	939	513	52.141375	33.705999999999996	56.8	8.9	52.14100756795818	33.697290900099915	0.6062264442443848	2.0	0.025908291339874268	52.13716420222538	33.72155120531755	1.5824799537658691	52.14868701423107	33.648774857115306	True
8	8	249	862	505	54.41141666666667	33.70852777777778	117.3	11.8	54.40573120426205	33.700268161018556	0.6183990240097046	2.0	0.4035052359104157	54.37965704253624	33.673516603784286	1.91883397102356	54.37021019828712	33.746840135851734	True
9	9	186	900	357	53.78736000000001	30.01807	28.930996	0.39750776	53.790971996197094	30.0264421581354	0.636346697807312	2.0	0.24356217682361606	53.732271269055566	30.04605986347973	1.8005428314208984	53.84018079542857	30.07885890949532	True
10	11	197	880	355	54.34159000000001	30.01234	23.87312	0.35797223	54.3531424722905	30.021040140995325	0.6502394676208496	2.0	0.172715425491333	54.294450544123194	30.040930828307463	1.3843210935592651	54.405837990354904	30.049241297773914	True
11	12	198	880	355	54.34811000000001	30.01365	24.921059	0.26710194	54.3531424722905	30.021040140995325	0.6502394676208496	2.0	0.172715425491333	54.294450544123194	30.040930828307463	1.3843210935592651	54.405837990354904	30.049241297773914	True
12	13	229	1020	476	49.99470833333334	32.55858333333333	35.9	14.9	49.990273063178385	32.56071164624917	0.6749178171157837	2.0	0.06219637393951416	49.999119463752095	32.5128031928907	1.3314735889434814	49.938687610780725	32.530353760715705	True
13	14	243	925	245	53.47704166666666	27.301527777777782	14.0	8.0	53.46436054658976	27.30699466030311	0.7632009983062744	2.0	0.04414278268814087	53.51474390580467	27.33467856271886	1.242520809173584	53.49742146314421	27.26188058633782	True
