ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
0	49.849410000000006	31.02869	1.306603193283081	-95.30131585512034	118	421
2	50.012520000000016	31.126040000000003	1.2429472208023071	590.2564415368656	2303	212
3	50.08925000000001	31.64013	1.001220941543579	186.77745607067237	436	186
4	50.11581	31.944129999999998	0.8720928430557251	151.7669243250581	251	267
5	50.18621	31.76695	0.9868234395980836	345.6854690266593	802	267
6	50.189230000000016	31.201759999999997	1.350156545639038	99.86921802120608	163	120
7	50.23199000000002	31.60075	1.5984244346618652	110.48383070395515	266	103
9	50.247140000000016	31.02774	1.889332056045532	48.88296602854868	116	84
10	50.24958000000001	30.848440000000004	1.0845348834991455	501.81014157809966	1460	368
11	50.25013000000001	31.22124	2.025963544845581	20.402816360525073	83	74
12	50.30499000000001	30.99768	1.980569124221801	110.55447351404185	915	70
13	50.37152000000002	30.951729999999998	1.0919462442398071	175.58445462824642	243	175
14	50.44955000000001	31.89139	1.7840577363967896	109.88912560644033	229	79
15	50.45063000000001	31.24205	1.0106050968170166	250.38408194269027	226	249
16	50.55728000000001	31.20588	1.5162607431411743	122.03142926462318	132	108
17	50.59103000000001	32.10835	0.9319931268692015	-163.83266807877078	293	289
18	50.61890000000001	29.695359999999997	0.9801870584487916	-499.8079517916079	447	349
19	50.64575000000001	28.97552	2.092642307281494	-111.73363391316238	69	150
20	50.6463	29.133609999999997	1.6540472507476809	384.9488987974488	2454	216
21	50.64872000000001	31.20035	2.165404796600342	16.984115207664107	169	57
22	50.68300000000001	29.56505	1.9403306245803835	-205.45678684335084	70	721
23	50.74281000000001	31.06418	1.8399659395217896	245.4487974392546	202	121
24	50.78311000000001	29.19962	1.2038934230804443	-299.9488572230146	237	313
25	50.83320000000001	28.90758	1.6312596797943115	-249.6906594782801	115	853
26	50.83547000000001	32.16422	1.6465412378311155	468.25225316301146	769	169
27	50.85423000000002	30.01892	0.7643551826477051	-903.0790290849257	857	427
28	50.86062000000001	29.047009999999997	1.7021610736846924	219.7864070426501	161	113
29	50.86195000000001	29.38008	2.31160569190979	-197.6607030761129	53	1377
30	50.87244000000001	29.28552	1.8004593849182131	-381.28729198689837	111	702
31	50.896510000000006	28.945320000000002	1.610483169555664	-85.9543951724131	104	106
32	50.90513000000001	30.076490000000003	2.20246696472168	-80.69052856741745	65	381
33	50.90781000000001	29.576259999999998	1.6451449394226074	-252.82034669203063	153	158
34	50.938490000000016	31.74977	1.5310076475143433	-98.84485982241068	98	569
35	50.94280000000001	29.384209999999996	2.279424905776977	-177.1541512021721	65	812
36	50.97348000000001	31.75484	1.5795271396636963	-198.51705550043664	118	1179
37	50.977030000000006	28.903709999999997	1.9452135562896729	143.61149587308284	1159	80
38	51.03970000000001	30.10207	2.224785566329956	125.13118710211704	138	71
39	51.04601000000001	30.10075	2.224785566329956	100.98387894142851	116	66
40	51.046230000000016	31.091359999999998	1.5193850994110107	376.1561883720983	151	226
41	51.050440000000016	29.37108	1.4824339151382446	-305.39518014819083	174	227
42	51.06359000000001	29.58092000000001	1.1444165706634521	-327.96720121817316	273	290
43	51.07550000000001	30.704309999999996	2.6388044357299805	71.54681875747046	149	52
44	51.08218000000001	30.70161	2.6388044357299805	80.21698451073297	165	52
45	51.09807000000002	30.876379999999997	2.8515548706054688	-1.9698059792509668	52	52
46	51.10239000000001	29.82811	1.9010851383209229	294.0962809714405	245	120
47	51.10568000000001	30.87309	2.8515548706054688	12.982389340928679	51	49
48	51.14155000000001	31.683359999999997	1.7148094177246094	-133.01769053059877	84	278
49	51.16390000000001	31.70103	1.6292734146118164	-115.15250523470252	96	722
50	51.16868000000001	31.47908	1.742984414100647	54.48481555740182	102	86
51	51.16905000000001	30.109579999999998	2.0451316833496094	-20.075535315836717	73	75
52	51.17472000000002	28.742359999999998	1.7583539485931396	-45.055378875277135	85	99
53	51.19258000000002	29.98867000000001	3.2515997886657715	-19.080901729106394	39	273
54	51.193730000000016	30.82878	3.58421277999878	56.9498171878187	71	45
55	51.20127000000001	30.82824	3.58421277999878	61.06073710445246	72	42
56	51.229290000000006	28.7047	1.4872163534164429	-1025.1801040300315	541	1418
57	51.24238	29.36937	1.4367358684539795	377.58888464316664	143	211
58	51.24895000000001	28.75337	1.438032865524292	43.70729914143568	124	123
59	51.25587000000001	32.17657	1.2655880451202393	-326.6891077529152	238	1315
60	51.29218000000001	31.47676	2.144716024398804	-91.59957271910265	58	98
61	51.29868	28.734240000000003	1.4773342609405518	-366.97709449352135	205	114
62	51.300320000000006	28.987040000000004	2.077472448348999	31.247054096561374	122	80
63	51.31276	29.091959999999997	1.674418568611145	239.5440306848145	442	116
64	51.31906000000002	29.8315	1.758995532989502	61.95901533612405	118	101
65	51.32284000000001	31.28663	2.440863609313965	-87.53411333391766	64	76
66	51.39706	29.026320000000002	1.0894156694412231	-316.5153093955772	249	198
67	51.42621000000001	30.10618	7.096508979797362	-47.769673417330225	33	38
68	51.42660000000001	29.166459999999997	0.804385781288147	-684.6157059819819	634	821
69	51.43404000000002	31.980859999999996	1.597557544708252	-266.76598383612355	140	520
70	51.46178000000001	29.145970000000002	0.9311642646789552	-699.614913304239	559	1364
71	51.49614000000002	31.48528	2.758617877960205	-98.3763455220345	58	74
72	51.50229000000001	28.755129999999998	1.1641110181808472	-256.55653399633644	232	241
73	51.51826000000001	32.17038	1.7188221216201782	292.9788264656288	1984	111
74	51.52349000000001	28.96841	1.3119453191757202	-190.12253641066903	167	828
75	51.53274000000002	30.17479	4.2830071449279785	-70.98650799819556	37	56
76	51.57442000000002	31.45662	2.709388256072998	-48.18159444775171	51	49
77	51.58042000000001	31.454909999999998	2.709388256072998	-37.830461457424825	48	47
78	51.58412000000001	29.08432	2.083102464675904	-48.42957958751227	72	168
79	51.58837000000001	29.082659999999997	2.083102464675904	-20.25447842289429	77	99
80	51.59432000000001	29.36332	1.6226264238357544	-65.03903773292599	95	161
81	51.63153000000001	28.77465	1.4126132726669312	-132.71171763725206	132	206
82	51.781270000000006	29.81535	3.035245180130005	-137.7937574431987	57	134
83	51.795270000000016	29.022609999999997	1.7482078075408936	-197.03794726335957	77	204
84	51.80401000000001	29.706490000000002	1.2776564359664917	17.899353656510147	149	149
85	51.81703	29.90749000000001	3.9216930866241455	-62.815080419238605	36	94
86	51.83461000000001	31.80377	2.091397762298584	-35.71299208282465	66	75
87	51.83515000000001	31.80848	2.091397762298584	-21.589615382430765	64	67
88	51.84136	31.804240000000004	2.091397762298584	-56.09772038497609	69	88
89	51.84522000000001	31.16793	2.87424635887146	65.30994973027757	101	57
90	51.87394000000001	30.24705	15.614900588989258	-22.068111175313515	29	30
91	51.91465000000001	31.40258	2.8716089725494385	-62.736909533972145	47	68
92	51.92582000000001	30.19466	9.586883544921877	-30.31800117657843	29	31
93	51.93425000000001	30.94952	1.9695948362350464	93.940506234735	99	81
94	51.93958000000002	29.066029999999998	2.543134450912476	-215.3484607056364	52	1167
95	52.01503	30.97761	2.729243755340576	28.049497731181265	59	59
97	52.02843000000002	29.44414	1.1627353429794312	-247.7833942196204	189	630
98	52.09405000000001	29.001659999999998	2.623230695724488	-194.38528389612426	52	181
99	52.09914000000002	29.005190000000002	2.623230695724488	-227.15153839084763	54	209
100	52.10475000000002	30.71353	2.8437857627868652	25.216938679996424	53	52
101	52.11130000000002	29.018140000000002	2.623230695724488	-223.50282451226437	60	208
102	52.11468000000001	30.8918	3.806918621063232	87.2423883806132	50	47
103	52.12113000000002	28.981509999999997	2.0997552871704097	-20.978799960548834	67	68
104	52.12625000000001	30.8459	5.156177043914795	47.89981299088318	36	31
105	52.13153000000001	30.84587	5.156177043914795	47.16485061835661	35	30
106	52.13879000000002	30.8443	5.156177043914795	47.72323125918541	36	31
107	52.15028000000001	29.36554000000001	2.3192174434661865	-78.26238929450447	50	130
108	52.15879000000002	30.836	4.208803653717041	50.55387912537726	35	32
109	52.16818000000001	30.83172	4.208803653717041	48.84789888374947	34	32
110	52.17958000000001	31.65348	4.458932876586914	184.6152017230133	216	46
111	52.21766	29.509259999999998	2.503032922744751	-169.06592832469775	69	115
112	52.23070000000001	29.52873	2.9006187915802	-124.04024877894493	46	203
