ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	49.849410000000006	31.02869	33.777412	0.49198952	-6.232014783333334	7.274151790676753	1.7636561058333333	1.306603193283081	0.8275577997167906	0.00013000000000000002	517.6032149610763	-95.49905385108512	-1.391004546607938	-502.003272670115	-57.38359043062486
2	50.012520000000016	31.126040000000003	75.94589	0.12320466	35.936463216666674	6.905366930676753	1.3948712458333334	1.2429472208023071	0.7639018272360166	0.0001338	1249.9631618597414	591.4639381849494	0.95951358798136	2894.765620775158	412.4261008140178
3	50.08925000000001	31.64013	47.79162	0.48620918	7.78219321666667	7.268371450676754	1.7578757658333335	1.001220941543579	0.5221755479772886	0.0001338	1149.2936731846594	187.14631199811967	1.9039374454481754	587.103123026051	68.36935109755088
4	50.115809999999996	31.94413	44.810696	1.048052	4.801269216666668	7.830214270676754	2.3197185858333333	0.8720928430557251	0.3930474494894346	0.0001364	1418.5048042183187	151.98655807950834	3.5547275625521384	192.2612084513313	51.14287733315291
5	50.186209999999996	31.76695	54.01694499999999	0.62202483	14.00751821666666	7.4041871006767535	1.8936914158333333	0.9868234395980836	0.5077780460317931	0.0001338	1335.684896098223	346.36595079233706	3.988530296546609	1128.3381428360137	152.02684611982366
6	50.189230000000016	31.20176	46.879368	0.6836968000000001	6.869941216666668	7.465859070676753	1.9553633858333335	1.350156545639038	0.8711111520727476	0.00013000000000000002	682.9110303178204	100.07725860333045	1.4595440249934577	221.7635093601734	49.30029267872193
7	50.23199000000002	31.60075	49.666195	1.741888	9.65676821666667	8.524050270676753	3.0135545858333335	1.5984244346618652	1.1193790410955748	0.00012470000000000002	569.5804555731443	110.74547668113615	3.8840546751195837	358.76747010645147	78.67813133269885
9	50.247140000000016	31.02774	45.31178	2.1725087000000003	5.302353216666667	8.954670970676753	3.4441752858333334	1.889332056045532	1.4102866624792414	0.0001177	418.8668359766008	49.01550800024891	2.3500868331692195	131.10697419985166	35.814350191591444
10	50.24958000000001	30.848440000000004	64.24135600000001	2.5418766	24.23192921666668	9.324038870676754	3.8135431858333337	1.0845348834991455	0.605489489932855	0.0001338	1333.0189008914833	502.81659140073623	19.895248284816596	1951.9382082355696	189.5174643584591
11	50.25013000000001	31.22124	42.425503000000006	1.9913983	2.4160762166666743	8.773560570676754	3.2630648858333333	2.025963544845581	1.5469181512792907	0.0001177	359.27717562108177	20.460359402439412	0.9603828369791362	58.445021224905126	16.187859618218454
