ID,RA_deg,Dec_deg,Av_mag,RM_obs_rad_m2,RM_err_rad_m2,B_parallel_uG,B_upper_err_uG,B_lower_err_uG
9,50.247140000000016,31.02774,1.889332056045532,45.31178,2.1725087000000003,132.47556923660895,273,131
11,50.25013000000001,31.22124,2.025963544845581,42.425503000000006,1.9913983,96.18843875418123,1036,75
12,50.30499000000001,30.99768,1.980569124221801,52.73574,0.65576845,193.0406952966092,1557,78
14,50.44955000000001,31.89139,1.7840577363967896,51.1612,1.170221,204.51328043803932,666,76
19,50.64575000000001,28.97552,2.092642307281494,26.23560100000001,1.4145119,-45.09610875636944,985,88
21,50.64872000000001,31.20035,2.165404796600342,42.193104,0.55164415,86.37467029401026,804,57
22,50.68300000000001,29.56505,1.9403306245803835,16.960531,0.7118561999999999,-135.44449680733777,134,635
23,50.74281000000001,31.06418,1.8399659395217896,65.95874,1.8966885,343.64942276017615,299,338
28,50.86062000000001,29.047009999999997,1.7021610736846924,60.94877,2.8704107000000003,327.82882993267793,674,127
29,50.86195000000001,29.38008,2.31160569190979,12.847766,0.42140946,-141.33814465549278,140,1364
30,50.87244000000001,29.28552,1.8004593849182131,0.8413539000000001,0.7502289000000001,-316.20021289901376,315,699
32,50.90513000000001,30.076490000000003,2.20246696472168,29.526655,0.96006024,-16.08991136855849,590,117
35,50.94280000000001,29.384209999999996,2.279424905776977,16.057575,1.2152815,-119.07403405900524,118,729
37,50.977030000000006,28.903709999999997,1.9452135562896729,56.17135,2.0899978,229.73814918314616,1801,79
38,51.03970000000001,30.10207,2.224785566329956,56.457607,0.79044884,195.30897031026112,235,86
39,51.04601000000001,30.10075,2.224785566329956,53.283504,0.6637403000000001,170.4175002335059,197,149
43,51.07550000000001,30.704309999999996,2.6388044357299805,51.28159,0.627501,129.0760540491268,293,128
44,51.08218000000001,30.70161,2.6388044357299805,52.64757,0.4584281,138.01276281527808,313,137
45,51.09807000000002,30.876379999999997,2.8515548706054688,39.67677,1.9283152,48.829219636241895,661,48
46,51.10239000000001,29.82811,1.9010851383209229,72.161835,2.736049,387.6590373847241,347,387
47,51.10568000000001,30.87309,2.8515548706054688,42.201866,1.5336493,64.0053241560249,87,63
48,51.14155000000001,31.683359999999997,1.7148094177246094,27.209064,0.5804331,-47.92249586948777,570,140
50,51.16868000000001,31.47908,1.742984414100647,45.368946,1.3684016,148.94100286141818,203,148
51,51.16905000000001,30.109579999999998,2.0451316833496094,37.604088,1.9269009,52.88363060886276,86,319
52,51.17472000000002,28.742359999999998,1.7583539485931396,35.52494,1.507241,42.293296397973464,801,83
53,51.19258000000002,29.98867000000001,3.2515997886657715,36.406006,0.4922846,26.22324458845285,366,1056
